0: d0, <-2($73), ->1($17)
701: d378, <-23946($54), ->23945($18)
702: d378, <-6668($33), ->6667($90)
703: d8, <-11946($87), ->11945($29)
704: d8, <-4884($56), ->4883($8)
705: d690, <-16782($25), ->16781($13)
706: d690, <-3548($56), ->3547($66)
707: d296, <-22590($78), ->22589($51)
708: d296, <-17776($18), ->17775($46)
709: d275, <-8710($71), ->8709($65)
710: d275, <-14($44), ->13($55)
711: d384, <-24016($70), ->24015($36)
712: d384, <-17934($16), ->17933($15)
713: d641, <-16100($9), ->16099($49)
714: d641, <-10176($64), ->10175($96)
715: d92, <-15066($95), ->15065($21)
716: d92, <-1992($39), ->1991($17)
717: d359, <-11950($54), ->11949($29)
718: d359, <-11446($79), ->11445($93)
719: d181, <-16838($26), ->16837($61)
720: d181, <-8828($44), ->8827($51)
721: d323, <-20182($27), ->20181($13)
722: d323, <-5274($45), ->5273($4)
723: d255, <-8874($84), ->8873($98)
724: d255, <-11190($86), ->11189($99)
725: d340, <-1514($20), ->1513($43)
726: d340, <-16098($29), ->16097($20)
727: d353, <-18286($44), ->18285($38)
728: d353, <-13106($21), ->13105($51)
729: d355, <-5308($50), ->5307($38)
730: d355, <-23324($85), ->23323($25)
731: d173, <-16846($21), ->16845($97)
732: d173, <-15310($32), ->15309($18)
733: d593, <-15796($52), ->15795($43)
734: d593, <-12814($2), ->12813($85)
735: d419, <-19904($52), ->19903($77)
736: d419, <-20938($83), ->20937($58)
737: d417, <-7894($48), ->7893($55)
738: d417, <-1640($64), ->1639($49)
739: d603, <-24868($19), ->24867($45)
740: d603, <-25448($43), ->25447($56)
741: d583, <-5410($33), ->5409($15)
742: d583, <-2260($53), ->2259($93)
743: d780, <-17216($61), ->17215($33)
744: d780, <-9768($19), ->9767($64)
745: d519, <-25460($1), ->25459($3)
746: d519, <-16134($54), ->16133($89)
747: d408, <-15866($31), ->15865($13)
748: d408, <-2238($15), ->2237($3)
749: d202, <-5150($38), ->5149($44)
750: d202, <-7412($75), ->7411($49)
751: d300, <-22876($4), ->22875($59)
752: d300, <-3240($31), ->3239($3)
753: d322, <-18736($45), ->18735($79)
754: d322, <-21270($71), ->21269($17)
755: d29, <-3660($69), ->3659($84)
756: d29, <-3256($97), ->3255($68)
757: d419, <-1826($34), ->1825($50)
758: d419, <-24836($24), ->24835($42)
759: d732, <-3766($75), ->3765($2)
760: d732, <-18338($97), ->18337($71)
761: d603, <-17606($42), ->17605($56)
762: d603, <-11180($70), ->11179($94)
763: d728, <-9350($53), ->9349($52)
764: d728, <-17980($33), ->17979($79)
765: d480, <-1310($13), ->1309($43)
766: d480, <-16678($95), ->16677($28)
767: d65, <-23066($28), ->23065($80)
768: d65, <-918($34), ->917($54)
769: d181, <-19360($38), ->19359($65)
770: d181, <-9046($68), ->9045($16)
771: d551, <-3754($30), ->3753($53)
772: d551, <-14946($48), ->14945($4)
773: d321, <-19248($54), ->19247($77)
774: d321, <-18176($81), ->18175($78)
775: d399, <-1486($98), ->1485($36)
776: d399, <-4544($8), ->4543($25)
777: d275, <-13334($59), ->13333($95)
778: d275, <-21650($37), ->21649($67)
779: d287, <-7892($46), ->7891($88)
780: d287, <-19286($80), ->19285($5)
781: d709, <-11860($46), ->11859($30)
782: d709, <-1448($24), ->1447($29)
783: d791, <-25100($3), ->25099($51)
784: d791, <-18698($72), ->18697($42)
785: d707, <-1254($62), ->1253($44)
786: d707, <-13388($78), ->13387($84)
787: d106, <-3322($39), ->3321($23)
788: d106, <-10252($96), ->10251($17)
789: d441, <-7380($14), ->7379($94)
790: d441, <-17836($87), ->17835($10)
791: d353, <-13106($21), ->13105($51)
792: d353, <-6638($55), ->6637($38)
793: d364, <-25166($38), ->25165($21)
794: d364, <-21492($34), ->21491($38)
795: d293, <-1010($57), ->1009($73)
796: d293, <-18134($40), ->18133($57)
797: d650, <-12232($64), ->12231($20)
798: d650, <-5716($43), ->5715($66)
799: d680, <-1132($21), ->1131($8)
800: d680, <-10102($94), ->10101($48)
801: d47, <-19740($67), ->19739($23)
802: d47, <-6478($87), ->6477($85)
803: d577, <-1036($38), ->1035($51)
804: d577, <-14180($33), ->14179($5)
805: d307, <-20754($81), ->20753($100)
806: d307, <-19736($59), ->19735($1)
807: d394, <-5112($94), ->5111($2)
808: d394, <-4480($67), ->4479($91)
809: d654, <-5524($76), ->5523($2)
810: d654, <-16604($60), ->16603($69)
811: d116, <-8980($45), ->8979($81)
812: d116, <-22872($8), ->22871($80)
813: d158, <-980($14), ->979($5)
814: d158, <-7262($28), ->7261($7)
815: d705, <-15034($89), ->15033($9)
816: d705, <-20250($66), ->20249($42)
817: d575, <-1202($23), ->1201($87)
818: d575, <-16618($60), ->16617($91)
819: d537, <-11362($1), ->11361($91)
820: d537, <-4782($81), ->4781($25)
821: d655, <-17296($69), ->17295($24)
822: d655, <-14320($86), ->14319($5)
823: d257, <-12958($53), ->12957($58)
824: d257, <-15758($94), ->15757($33)
825: d632, <-6462($28), ->6461($41)
826: d632, <-13646($66), ->13645($67)
827: d404, <-15416($80), ->15415($77)
828: d404, <-23372($37), ->23371($70)
829: d472, <-8630($91), ->8629($75)
830: d472, <-17192($72), ->17191($89)
831: d403, <-8378($89), ->8377($76)
832: d403, <-18486($25), ->18485($7)
833: d582, <-23548($10), ->23547($74)
834: d582, <-2540($57), ->2539($65)
835: d756, <-12026($31), ->12025($60)
836: d756, <-14880($6), ->14879($38)
837: d313, <-12154($90), ->12153($12)
838: d313, <-8884($59), ->8883($25)
839: d454, <-7550($21), ->7549($16)
840: d454, <-8950($65), ->8949($71)
841: d414, <-8842($23), ->8841($97)
842: d414, <-21202($71), ->21201($89)
843: d702, <-19004($17), ->19003($74)
844: d702, <-6628($28), ->6627($64)
845: d460, <-13472($101), ->13471($64)
846: d460, <-19056($28), ->19055($29)
847: d189, <-20968($91), ->20967($31)
848: d189, <-6216($97), ->6215($33)
849: d166, <-21110($53), ->21109($81)
850: d166, <-4962($7), ->4961($5)
851: d195, <-3444($1), ->3443($18)
852: d195, <-16148($32), ->16147($5)
853: d73, <-19830($55), ->19829($21)
854: d73, <-23566($88), ->23565($14)
855: d177, <-25420($73), ->25419($77)
856: d177, <-20416($45), ->20415($27)
857: d512, <-8186($22), ->8185($92)
858: d512, <-15916($42), ->15915($81)
859: d397, <-8336($45), ->8335($67)
860: d397, <-14822($10), ->14821($47)
861: d362, <-6896($27), ->6895($44)
862: d362, <-25044($96), ->25043($44)
863: d560, <-4098($11), ->4097($59)
864: d560, <-6158($12), ->6157($72)
865: d636, <-10532($59), ->10531($72)
866: d636, <-17962($33), ->17961($69)
867: d102, <-4258($87), ->4257($38)
868: d102, <-8372($97), ->8371($70)
869: d168, <-17264($15), ->17263($81)
870: d168, <-12998($59), ->12997($16)
871: d225, <-22214($20), ->22213($40)
872: d225, <-7434($2), ->7433($49)
873: d390, <-15052($99), ->15051($97)
874: d390, <-2202($10), ->2201($5)
875: d177, <-14638($75), ->14637($42)
876: d177, <-24816($92), ->24815($19)
877: d770, <-24798($58), ->24797($6)
878: d770, <-19706($68), ->19705($100)
879: d110, <-16544($67), ->16543($17)
880: d110, <-22418($88), ->22417($82)
881: d673, <-10376($8), ->10375($75)
882: d673, <-10544($44), ->10543($1)
883: d443, <-22040($80), ->22039($19)
884: d443, <-21074($47), ->21073($76)
885: d379, <-23968($6), ->23967($59)
886: d379, <-10506($3), ->10505($12)
887: d264, <-9866($34), ->9865($86)
888: d264, <-18304($60), ->18303($52)
889: d771, <-14358($76), ->14357($80)
890: d771, <-14640($45), ->14639($82)
891: d575, <-16618($60), ->16617($91)
892: d575, <-6070($18), ->6069($94)
893: d412, <-6010($51), ->6009($71)
894: d412, <-23456($49), ->23455($83)
895: d93, <-15418($26), ->15417($47)
896: d93, <-16204($86), ->16203($18)
897: d742, <-18036($69), ->18035($13)
898: d742, <-13070($83), ->13069($50)
899: d285, <-3506($63), ->3505($5)
900: d285, <-22360($9), ->22359($92)
901: d401, <-19354($2), ->19353($85)
902: d401, <-1390($24), ->1389($2)
903: d690, <-156($29), ->155($59)
904: d690, <-12436($16), ->12435($61)
905: d456, <-14624($6), ->14623($49)
906: d456, <-7512($1), ->7511($40)
907: d441, <-7184($72), ->7183($87)
908: d441, <-20450($69), ->20449($96)
909: d485, <-11608($26), ->11607($64)
910: d485, <-12200($37), ->12199($96)
911: d300, <-3136($97), ->3135($82)
912: d300, <-6008($13), ->6007($88)
913: d684, <-8044($8), ->8043($94)
914: d684, <-13322($10), ->13321($34)
915: d730, <-16858($95), ->16857($83)
916: d730, <-9486($3), ->9485($27)
917: d66, <-14168($84), ->14167($30)
918: d66, <-11646($29), ->11645($59)
919: d414, <-10568($84), ->10567($91)
920: d414, <-4528($98), ->4527($13)
921: d538, <-8270($96), ->8269($8)
922: d538, <-16812($62), ->16811($16)
923: d87, <-24826($63), ->24825($75)
924: d87, <-20670($56), ->20669($63)
925: d190, <-4190($96), ->4189($99)
926: d190, <-2388($11), ->2387($68)
927: d507, <-10402($59), ->10401($47)
928: d507, <-12260($84), ->12259($26)
929: d403, <-23858($1), ->23857($73)
930: d403, <-7998($9), ->7997($91)
931: d320, <-774($96), ->773($99)
932: d320, <-6330($1), ->6329($4)
933: d620, <-18102($85), ->18101($35)
934: d620, <-12908($45), ->12907($61)
935: d251, <-9778($17), ->9777($70)
936: d251, <-20942($78), ->20941($99)
937: d507, <-12260($84), ->12259($26)
938: d507, <-16878($97), ->16877($55)
939: d431, <-5852($90), ->5851($22)
940: d431, <-5336($60), ->5335($68)
941: d336, <-21488($69), ->21487($85)
942: d336, <-4358($32), ->4357($71)
943: d29, <-19418($11), ->19417($24)
944: d29, <-15340($96), ->15339($81)
945: d602, <-4780($89), ->4779($6)
946: d602, <-20744($85), ->20743($99)
947: d231, <-4808($58), ->4807($16)
948: d231, <-18418($100), ->18417($1)
949: d369, <-18618($83), ->18617($34)
950: d369, <-17992($3), ->17991($82)
951: d746, <-4602($83), ->4601($55)
952: d746, <-24338($26), ->24337($61)
953: d41, <-5254($39), ->5253($75)
954: d41, <-1710($66), ->1709($52)
955: d608, <-4112($25), ->4111($81)
956: d608, <-3556($12), ->3555($13)
957: d172, <-7510($69), ->7509($16)
958: d172, <-15824($54), ->15823($12)
959: d387, <-21000($87), ->20999($22)
960: d387, <-11112($35), ->11111($36)
961: d4, <-10288($21), ->10287($2)
962: d4, <-8758($28), ->8757($96)
963: d76, <-24012($35), ->24011($20)
964: d76, <-12048($7), ->12047($54)
965: d403, <-24688($83), ->24687($67)
966: d403, <-8362($6), ->8361($63)
967: d489, <-17138($20), ->17137($95)
968: d489, <-18306($53), ->18305($100)
969: d652, <-23998($95), ->23997($36)
970: d652, <-15162($15), ->15161($33)
971: d161, <-4698($86), ->4697($42)
972: d161, <-1828($94), ->1827($20)
973: d660, <-7618($36), ->7617($86)
974: d660, <-8684($45), ->8683($94)
975: d328, <-14796($26), ->14795($62)
976: d328, <-10168($57), ->10167($59)
977: d409, <-1362($42), ->1361($27)
978: d409, <-562($37), ->561($59)
979: d159, <-13436($50), ->13435($1)
980: d159, <-7278($92), ->7277($63)
981: d578, <-4978($31), ->4977($27)
982: d578, <-15116($48), ->15115($52)
983: d693, <-8126($72), ->8125($83)
984: d693, <-14010($101), ->14009($58)
985: d257, <-7718($58), ->7717($96)
986: d257, <-18140($32), ->18139($93)
987: d660, <-20124($75), ->20123($53)
988: d660, <-19330($20), ->19329($22)
989: d233, <-21002($34), ->21001($84)
990: d233, <-11012($27), ->11011($49)
991: d14, <-3588($25), ->3587($96)
992: d14, <-16552($98), ->16551($5)
993: d759, <-4750($78), ->4749($33)
994: d759, <-2494($91), ->2493($84)
995: d710, <-23442($23), ->23441($28)
996: d710, <-5780($74), ->5779($32)
997: d181, <-21446($25), ->21445($26)
998: d181, <-20112($67), ->20111($26)
999: d762, <-12070($40), ->12069($63)
1000: d762, <-12816($19), ->12815($69)
1001: d714, <-14016($56), ->14015($40)
1002: d714, <-536($73), ->535($70)
1003: d533, <-2298($17), ->2297($100)
1004: d533, <-13222($39), ->13221($16)
1005: d663, <-18044($31), ->18043($58)
1006: d663, <-7092($87), ->7091($57)
1007: d40, <-4864($44), ->4863($49)
1008: d40, <-25462($2), ->25461($19)
1009: d294, <-24650($47), ->24649($57)
1010: d294, <-5428($65), ->5427($4)
1011: d556, <-7756($76), ->7755($51)
1012: d556, <-14106($56), ->14105($91)
1013: d444, <-12366($60), ->12365($58)
1014: d444, <-6404($63), ->6403($72)
1015: d235, <-9288($72), ->9287($92)
1016: d235, <-9358($4), ->9357($47)
1017: d288, <-17054($50), ->17053($54)
1018: d288, <-25014($56), ->25013($98)
1019: d621, <-22302($5), ->22301($72)
1020: d621, <-7476($3), ->7475($39)
1021: d204, <-20676($69), ->20675($37)
1022: d204, <-4344($87), ->4343($7)
1023: d375, <-10326($35), ->10325($68)
1024: d375, <-2324($38), ->2323($40)
1025: d702, <-22708($6), ->22707($43)
1026: d702, <-1374($69), ->1373($31)
1027: d754, <-22968($29), ->22967($26)
1028: d754, <-6248($32), ->6247($64)
1029: d492, <-22774($42), ->22773($78)
1030: d492, <-18648($20), ->18647($62)
1031: d104, <-16238($30), ->16237($55)
1032: d104, <-24046($62), ->24045($5)
1033: d334, <-17498($45), ->17497($95)
1034: d334, <-22800($88), ->22799($78)
1035: d578, <-16388($68), ->16387($15)
1036: d578, <-20410($68), ->20409($64)
1037: d226, <-18522($89), ->18521($51)
1038: d226, <-13538($8), ->13537($48)
1039: d693, <-15808($14), ->15807($71)
1040: d693, <-12288($5), ->12287($2)
1041: d661, <-12388($31), ->12387($37)
1042: d661, <-5424($84), ->5423($38)
1043: d239, <-24646($25), ->24645($47)
1044: d239, <-24458($27), ->24457($7)
1045: d351, <-13008($27), ->13007($11)
1046: d351, <-23354($49), ->23353($79)
1047: d527, <-19188($43), ->19187($6)
1048: d527, <-2878($84), ->2877($1)
1049: d629, <-514($91), ->513($81)
1050: d629, <-4796($93), ->4795($25)
1051: d760, <-9748($80), ->9747($48)
1052: d760, <-5612($3), ->5611($62)
1053: d274, <-710($18), ->709($94)
1054: d274, <-4336($67), ->4335($49)
1055: d213, <-4540($91), ->4539($38)
1056: d213, <-11744($67), ->11743($81)
1057: d654, <-14618($100), ->14617($48)
1058: d654, <-1356($86), ->1355($80)
1059: d795, <-22346($75), ->22345($51)
1060: d795, <-13578($67), ->13577($83)
1061: d694, <-8028($33), ->8027($72)
1062: d694, <-24052($13), ->24051($84)
1063: d792, <-20530($27), ->20529($34)
1064: d792, <-20824($37), ->20823($87)
1065: d358, <-17878($81), ->17877($88)
1066: d358, <-11894($13), ->11893($16)
1067: d25, <-3866($41), ->3865($2)
1068: d25, <-24408($1), ->24407($87)
1069: d95, <-5458($85), ->5457($31)
1070: d95, <-18902($97), ->18901($100)
1071: d763, <-6990($5), ->6989($98)
1072: d763, <-25376($98), ->25375($13)
1073: d38, <-21188($93), ->21187($14)
1074: d38, <-21790($78), ->21789($21)
1075: d523, <-10734($91), ->10733($67)
1076: d523, <-3160($25), ->3159($42)
1077: d494, <-17460($71), ->17459($27)
1078: d494, <-14268($59), ->14267($51)
1079: d373, <-16274($32), ->16273($87)
1080: d373, <-16272($74), ->16271($53)
1081: d249, <-16808($46), ->16807($95)
1082: d249, <-6826($89), ->6825($61)
1083: d241, <-21244($96), ->21243($43)
1084: d241, <-21122($56), ->21121($83)
1085: d44, <-17478($91), ->17477($92)
1086: d44, <-3204($70), ->3203($80)
1087: d286, <-23074($37), ->23073($53)
1088: d286, <-780($5), ->779($38)
1089: d133, <-17118($91), ->17117($78)
1090: d133, <-21764($54), ->21763($87)
1091: d724, <-18112($16), ->18111($92)
1092: d724, <-25458($89), ->25457($41)
1093: d297, <-22786($92), ->22785($86)
1094: d297, <-18860($27), ->18859($44)
1095: d320, <-9882($68), ->9881($43)
1096: d320, <-11556($45), ->11555($71)
1097: d674, <-3056($36), ->3055($25)
1098: d674, <-1142($10), ->1141($66)
1099: d139, <-464($63), ->463($2)
1100: d139, <-24502($10), ->24501($67)
1101: d624, <-20090($48), ->20089($71)
1102: d624, <-8276($20), ->8275($74)
1103: d84, <-4452($79), ->4451($65)
1104: d84, <-8858($77), ->8857($28)
1105: d30, <-22506($27), ->22505($62)
1106: d30, <-354($12), ->353($87)
1107: d580, <-21816($51), ->21815($94)
1108: d580, <-11288($96), ->11287($56)
1109: d468, <-8898($94), ->8897($92)
1110: d468, <-12114($11), ->12113($85)
1111: d768, <-23494($22), ->23493($61)
1112: d768, <-8370($30), ->8369($58)
1113: d546, <-12394($51), ->12393($53)
1114: d546, <-8054($5), ->8053($32)
1115: d330, <-172($8), ->171($24)
1116: d330, <-1590($63), ->1589($50)
1117: d683, <-914($96), ->913($87)
1118: d683, <-8030($15), ->8029($75)
1119: d435, <-4238($10), ->4237($91)
1120: d435, <-3828($93), ->3827($10)
1121: d45, <-18746($90), ->18745($71)
1122: d45, <-15614($45), ->15613($9)
1123: d154, <-16296($51), ->16295($27)
1124: d154, <-4174($73), ->4173($42)
1125: d37, <-1074($53), ->1073($20)
1126: d37, <-21254($64), ->21253($93)
1127: d646, <-1318($91), ->1317($30)
1128: d646, <-19764($3), ->19763($32)
1129: d498, <-13346($46), ->13345($10)
1130: d498, <-3088($89), ->3087($54)
1131: d681, <-11160($99), ->11159($21)
1132: d681, <-19434($31), ->19433($29)
1133: d23, <-17400($64), ->17399($3)
1134: d23, <-13442($17), ->13441($42)
1135: d666, <-4426($72), ->4425($65)
1136: d666, <-22918($43), ->22917($93)
1137: d434, <-13156($79), ->13155($38)
1138: d434, <-2988($50), ->2987($98)
1139: d331, <-20260($33), ->20259($70)
1140: d331, <-1758($16), ->1757($98)
1141: d675, <-286($71), ->285($76)
1142: d675, <-22202($54), ->22201($68)
1143: d450, <-6074($88), ->6073($30)
1144: d450, <-22892($59), ->22891($80)
1145: d734, <-10914($86), ->10913($5)
1146: d734, <-3950($39), ->3949($86)
1147: d645, <-17194($92), ->17193($89)
1148: d645, <-10118($86), ->10117($28)
1149: d676, <-14994($22), ->14993($88)
1150: d676, <-13440($87), ->13439($38)
1151: d198, <-19864($4), ->19863($20)
1152: d198, <-1238($79), ->1237($37)
1153: d98, <-20540($95), ->20539($65)
1154: d98, <-7124($61), ->7123($17)
1155: d484, <-15458($1), ->15457($77)
1156: d484, <-13958($71), ->13957($14)
1157: d664, <-16816($74), ->16815($83)
1158: d664, <-10140($29), ->10139($27)
1159: d180, <-4208($23), ->4207($32)
1160: d180, <-720($59), ->719($96)
1161: d508, <-2228($7), ->2227($61)
1162: d508, <-10832($75), ->10831($3)
1163: d299, <-20140($38), ->20139($55)
1164: d299, <-6324($81), ->6323($97)
1165: d470, <-2952($29), ->2951($12)
1166: d470, <-4228($60), ->4227($77)
1167: d220, <-20962($53), ->20961($81)
1168: d220, <-16084($60), ->16083($99)
1169: d298, <-6476($90), ->6475($11)
1170: d298, <-9290($39), ->9289($16)
1171: d499, <-13560($94), ->13559($80)
1172: d499, <-22390($5), ->22389($63)
1173: d757, <-18276($9), ->18275($90)
1174: d757, <-6184($71), ->6183($86)
1175: d389, <-9508($54), ->9507($24)
1176: d389, <-9420($55), ->9419($51)
1177: d174, <-24212($10), ->24211($58)
1178: d174, <-13398($8), ->13397($49)
1179: d630, <-12918($67), ->12917($18)
1180: d630, <-16156($46), ->16155($21)
1181: d709, <-15250($6), ->15249($98)
1182: d709, <-11860($46), ->11859($30)
1183: d794, <-12624($74), ->12623($10)
1184: d794, <-10160($39), ->10159($29)
1185: d227, <-16788($38), ->16787($8)
1186: d227, <-4124($76), ->4123($8)
1187: d603, <-24456($31), ->24455($90)
1188: d603, <-17606($42), ->17605($56)
1189: d670, <-17638($3), ->17637($17)
1190: d670, <-1646($52), ->1645($16)
1191: d209, <-6610($98), ->6609($97)
1192: d209, <-21656($15), ->21655($12)
1193: d795, <-13578($67), ->13577($83)
1194: d795, <-7214($84), ->7213($99)
1195: d675, <-21806($55), ->21805($79)
1196: d675, <-19166($97), ->19165($27)
1197: d223, <-17330($94), ->17329($39)
1198: d223, <-17272($29), ->17271($75)
1199: d28, <-11432($80), ->11431($94)
1200: d28, <-11338($36), ->11337($67)
1201: d576, <-14334($99), ->14333($100)
1202: d576, <-21332($93), ->21331($62)
1203: d355, <-16354($51), ->16353($5)
1204: d355, <-19678($84), ->19677($52)
1205: d606, <-15682($47), ->15681($3)
1206: d606, <-20248($86), ->20247($87)
1207: d327, <-3110($34), ->3109($89)
1208: d327, <-9584($56), ->9583($59)
1209: d46, <-17252($84), ->17251($42)
1210: d46, <-21786($1), ->21785($80)
1211: d596, <-6958($38), ->6957($99)
1212: d596, <-9714($101), ->9713($21)
1213: d63, <-24114($2), ->24113($22)
1214: d63, <-1680($99), ->1679($54)
1215: d184, <-340($83), ->339($1)
1216: d184, <-9682($78), ->9681($8)
